ano,local,autor,titulo,link
2017,Zürich,"Michele Vuerich, Andreas Renggli",Improving Time to Market: The New Speed of DevOps in a Corporate Environment,https://devopsdays.org/events/2017-zurich/program/michele-vuerich
2017,Stockholm,H 'Waldo' Grunenwald,Fear and Loathing in Systems Administration,https://devopsdays.org/events/2017-stockholm/program/h-waldo-grunenwald
2017,Stockholm,Eric Maxwell,Building security into your workflow with InSpec,https://devopsdays.org/events/2017-stockholm/program/eric-maxwell
2017,Stockholm,Ryn Daniels,Building Bridges with Effective Devops,https://devopsdays.org/events/2017-stockholm/program/ryn-daniels
2017,Stockholm,PJ Hagerty,From Turing to Big Data: A Look at Computing and Analytics,https://devopsdays.org/events/2017-stockholm/program/pj-hagerty
2017,Stockholm,Peter Chestna,Full Spectrum Engineering – The new full-stack,https://devopsdays.org/events/2017-stockholm/program/peter-chestna
2017,Stockholm,Jon Cowie,Building a healthy work life / balance,https://devopsdays.org/events/2017-stockholm/program/jon-cowie
2017,Stockholm,Peter Örneholm,Infrastructure as Code with ARM Templates and why it matters for developers,https://devopsdays.org/events/2017-stockholm/program/peter-orneholm
2017,Stockholm,Arup Chakrabarti,The Great PagerDuty DevOps Heist of 2016,https://devopsdays.org/events/2017-stockholm/program/arup-chakrabarti
2017,Stockholm,Sheela Nistala,Rolling Deployments without Stopping and Dropping,https://devopsdays.org/events/2017-stockholm/program/sheela-nistala
2017,Stockholm,"Gerie Owen, Peter Varhol",DevOps and Groupthink: An Oxymoron?,https://devopsdays.org/events/2017-stockholm/program/gerie-owen-peter-varhol
2017,Toronto,Bridget Kromhout,Computers are easy; people are hard,https://devopsdays.org/events/2017-toronto/program/bridget-kromhout
2017,Toronto,Augusto Rosa,"Shomi Stories: A Cloud Migration, Team Building and Having Fun in between",https://devopsdays.org/events/2017-toronto/program/augusto-rosa
2017,Toronto,Mia Henderson,A year of containers: the agony and the ecstasy,https://devopsdays.org/events/2017-toronto/program/mia-henderson
2017,Toronto,Jason Hand,Beyond the Mean Time To Repair,https://devopsdays.org/events/2017-toronto/program/jason-hand
2017,Toronto,"Arthur Maltson, Roderick Randolph",Deep Work: A New Working Model For Ops Teams in a DevOps Environment,https://devopsdays.org/events/2017-toronto/program/arthur-maltson
2017,Toronto,Andreas Grabner,From 6 Month Waterfall to 1h Code Deploys,https://devopsdays.org/events/2017-toronto/program/andreas-grabner
2017,Toronto,Aaron Aldrich,Managing Fires: The Role of Leadership in Crisis,https://devopsdays.org/events/2017-toronto/program/aaron-aldrich
2017,Toronto,Chris Van Tuin,A Security State of Mind: Continuous Security for DevOps with Kubernetes,https://devopsdays.org/events/2017-toronto/program/chris-van-tuin
2017,Minneapolis,Bryan Liles,"Sys Admins, DevOps, SRE. Oh My! (Opening Keynote)",https://devopsdays.org/events/2017-minneapolis/program/bryan-liles
2017,Minneapolis,Erica Windisch,Embracing Serverless Ops,https://devopsdays.org/events/2017-minneapolis/program/erica-windisch
